instance,n,number of cycles,covered squares,cpu_time (s),solution found
0abad872-235a-4347-abe6-d6459dced2ee.singles,5,38,7,0.017084168,True
f922b70d-7c20-4134-b395-9373a351b072.singles,5,18,7,0.054091748,True
709bd54c-ddb9-4eb4-b76f-fac091fb47e2.singles,5,12,7,0.003649937,True
877c42b9-babf-470d-9a6d-40be7b5a86c1.singles,5,7,6,0.184513453,True
fae77e94-51d9-44ce-b253-67919459aa7a.singles,5,94,7,2.235664411,True
bedff4ec-75a4-4bf3-b2c3-02cd959480b5.singles,5,7,7,0.006137358,True
70d458ea-b023-4358-979a-e68f7c00fb38.singles,5,78,7,0.011864304,True
c1ac7e6b-7d10-4c88-8cbb-99419e935400.singles,5,4,7,0.039262244,True
5f129ab3-414b-4e41-ad52-699b2d5164ad.singles,5,30,7,0.006833826,True
37d6522c-4583-4610-8848-e720ffffee72.singles,5,7,7,0.005465585,True
dbbbcd3d-29d1-43c5-bcd9-53f967447ab3.singles,5,10,7,0.01275498,True
6fc1d745-6e42-4676-b8d3-62d1dcfb8dfc.singles,5,15,7,0.022358617,True
2b208f1d-0113-425b-9ffb-98a7e345781d.singles,5,9,7,0.001782113,True
48da1dc6-c942-43cf-9c98-8fcd58b38f80.singles,5,40,7,0.028307714,True
2d439ea5-5056-44dd-bff1-fe4e9cd0994a.singles,5,35,7,0.00191834,True
eff23e3f-5beb-4f7a-bd5c-f7766c021532.singles,5,9,7,0.047914816,True
1a2fb166-ec2e-4007-9c91-8e6cc2cbee67.singles,5,40,6,7.017503485,True
8dddc7b0-bc7c-469e-aff5-b54e35266d28.singles,5,13,7,0.005259891,True
b87f6be1-a7de-4e43-a59e-5419a5d9df21.singles,5,64,7,0.025131349,True
938689ac-9d7e-4bf6-b4f0-1826f968fa7b.singles,5,4,6,0.414359758,True
ed7b6878-5430-4875-911e-981cbacdf09c.singles,5,8,7,0.005127881,True
6f484a6f-b16e-4d7f-8e22-346eb00cb9a0.singles,5,27,6,0.085642746,True
b4eae6a1-5949-444c-a3dd-ef2e346c189e.singles,5,9,7,0.004752168,True
cc600624-a5a6-405f-bd6d-c9582f93a0fd.singles,5,12,7,0.005857264,True
403bfc92-2877-4833-97fd-af38a6ebe51b.singles,5,11,7,0.043551155,True
ba6591ef-aa67-42db-b7c4-8a7313d33ab2.singles,5,43,7,0.004747289,True
9ac75cf4-dbaa-4c78-930b-058ebb1333f7.singles,5,11,7,0.021531873,True
786a4a76-b54e-4010-81b7-a3807036c856.singles,5,18,7,0.002115501,True
a81a6564-fafb-4854-a5c5-c7646482d858.singles,5,4,8,0.001747709,True
00603400-42b6-4936-a5e2-3cc8c37204b1.singles,5,35,8,0.002060357,True
b9fdb20e-10ac-494a-8433-2dc487354a13.singles,5,5,6,3.476075562,True
5320d2db-418a-4279-b8b6-d6a6d2e127d4.singles,5,11,7,0.009386712,True
4a1b1474-421e-477c-b5ed-f6a958f460ba.singles,5,6,6,2.707439805,True
9a54e37f-dce0-44df-9248-7b85e33baca2.singles,5,13,8,0.058076522,True
f17a846a-b772-4994-846d-bc83f9238a3c.singles,5,2,6,8.782678794,True
d1a3a220-390a-424f-b50f-030f4182cf13.singles,5,15,8,0.002246587,True
12eeec98-989c-4f56-b405-307f3d4bd226.singles,5,13,8,0.007413503,True
fdc56247-1f3d-490b-9239-59836af37b3a.singles,5,21,8,0.004614499,True
6a1ac12b-bbee-4262-8d38-b88f339a59e0.singles,5,12,6,0.0428429,True
d7be1bbc-7cc5-43be-a21a-1cee1f25fd21.singles,5,7,7,0.007573063,True
7d1426ce-acd9-41f2-8179-e29f80ccd584.singles,5,19,7,0.00225883,True
53945898-fa66-4be8-9210-732512b2c76d.singles,5,16,7,0.001610813,True
fa8244ac-2181-40a9-ba8a-2157a8189b9b.singles,5,9,7,0.066741216,True
45eeb478-7d52-4e88-8a07-71d22a0551df.singles,5,1,6,0.07561922,True
03a10926-540d-4a98-abbe-51729eae1e9e.singles,5,5,8,0.015355848,True
d459a937-c36e-48f0-b3e5-a8efa6f364db.singles,5,41,7,0.004495355,True
e5c58439-8f54-4828-b287-ddb98eae06be.singles,5,9,8,0.013908139,True
b10bdb1c-1a4d-4c95-a03f-543e58571a10.singles,5,23,7,6.015493278,True
11a12554-06f4-4502-89e4-f3be5aa227b1.singles,5,22,8,1.160132124,True
e73e5ec8-8195-4d65-854b-5767ae13c2d0.singles,5,2,8,0.060870557,True
b8a1abbb-e3f4-4207-8a6b-da7a7c4ccc70.singles,5,9,7,0.014111962,True
fe74c12d-2a29-4aae-af88-a559b5b50473.singles,5,1,8,0.004251369,True
