instance,n,number of cycles,covered squares,cpu_time (s),solution found
00418c51-72a3-4258-979d-802934428991.singles,10,1331,30,0.007927198,True
0045d7af-d6fa-4ef7-a255-4d0b3c6911b5.singles,10,115736,29,0.006893493,True
00834e51-cf72-4067-bbe1-1c045f456098.singles,10,10922,28,0.003517366,True
00fd84e5-f476-44db-a2d8-ea91b8255797.singles,10,170,28,0.003571766,True
0107f638-37df-4e62-801e-763e19325ef7.singles,10,1065490,30,0.004798173,True
01ae2aaa-cf2a-4f6d-a56c-c79da87fb377.singles,10,367,27,0.006670074,True
020f3ab3-e4c0-43d6-8a0a-ba1d36e4c09b.singles,10,657,30,0.003357995,True
022ffba2-55df-4791-829c-22292ef8ed32.singles,10,186,29,0.005472533,True
0230e385-6081-403e-a8a5-57a070ce8378.singles,10,40,30,0.003637237,True
02526e98-b59e-4c80-82a0-73d6a6e564ae.singles,10,248,30,0.205587437,True
025d0bbd-e0b7-43b4-b955-693ab3c267d6.singles,10,717,30,0.00426369,True
0269efa7-c3da-4b2f-8097-bfe1a1f6dbb1.singles,10,944,29,0.011299512,True
0287470a-565f-412d-ada9-791185facb10.singles,10,81,30,0.0054491,True
03402f7c-c88a-4da2-b3e7-f812b520d595.singles,10,2586,29,0.013835769,True
03412d28-7b37-4fb4-bccd-b42e766af36b.singles,10,1791,29,0.004388474,True
0383a978-2f84-4e82-8ad3-6890b573ddb9.singles,10,1491,29,0.011339876,True
03c778cb-55ab-417c-aa41-7d603765c14b.singles,10,1159,26,0.004655183,True
03de9c1c-8a16-4c38-be7f-b8590f1f3f50.singles,10,3906,31,0.00616601,True
045f8d63-762b-4f0c-99f5-56218a963508.singles,10,91,28,0.005604651,True
04a65436-36e5-4259-9bc6-ae9d2e3a5efb.singles,10,952,29,0.003764966,True
0575f6d6-1ac3-4b1b-a349-f72834f1e433.singles,10,93,29,0.015910238,True
05f28012-51af-4290-8d45-5e0a9346452b.singles,10,66,28,0.00356372,True
060fa1fe-0828-4013-99ca-16ac9efb91b1.singles,10,3429,28,0.008501746,True
0629cb7c-3b38-47af-9057-faf00ac374a2.singles,10,97,29,0.003524778,True
06b38f82-25e5-476c-9a83-983cd953c66d.singles,10,235,27,0.003549441,True
070e65fa-c715-40e6-839a-a95bba22438b.singles,10,1599,28,0.003590289,True
07f19810-c14e-4689-9fed-523c237eea82.singles,10,1181,30,0.006493324,True
084103cd-8723-4a77-8b1d-178df8079869.singles,10,262,29,7.244449069,True
08a07df0-7b09-41c6-a127-d3ff2ead5904.singles,10,847,29,0.012154401,True
08ae4c8c-6af6-4d3b-bc08-f5ddf1122c6b.singles,10,1767,28,0.009385775,True
08e2f1d4-ec7a-449c-8a3f-ccc3ffe8d611.singles,10,291,28,0.003475055,True
09535a01-9d36-4a22-939e-8ac449aeee48.singles,10,750,28,0.005268009,True
0975fa97-f353-42a5-a03a-7aa4c797aadd.singles,10,60,29,0.006369482,True
09f3217e-14b4-40f2-934d-b598c9cf3c01.singles,10,233,29,0.458840454,True
0a1e3f7c-02b3-4b5f-a923-3d6d9fde1c01.singles,10,1488,28,0.005343761,True
0a41a850-0ac3-4a80-bf3c-ed027c834f78.singles,10,6473,29,0.004076799,True
0a4df37a-8c4c-44ba-94cf-60a696cd096a.singles,10,4685,28,0.003558351,True
0a65b582-4233-4887-9579-6c01f72f5ad7.singles,10,101,28,0.004109842,True
0a851f86-6e67-46c6-af6c-778de687124b.singles,10,800,30,0.034123319,True
0aa2a8fc-ea17-4140-9ac0-dee6fb62fae5.singles,10,577,29,0.004136401,True
0ab9ae5e-8471-450e-b572-0a10a12d790f.singles,10,2359,30,0.005144499,True
0abe91b5-90dd-44d9-aa01-4ff3c6fa5a25.singles,10,433,28,0.003365831,True
0ac13a15-25eb-400e-b408-4e5266c5dfea.singles,10,2553,29,0.280550435,True
0b8d733c-6ece-40fc-b1a9-016d63631c17.singles,10,117,28,0.003454056,True
0c1f4045-852d-4670-a94e-5f9ea656bb22.singles,10,4915,29,0.078182484,True
0c756d85-8cde-47d2-9ffd-d6ec254b65b3.singles,10,2285,30,0.006283801,True
0c9e4fb9-80d5-4b54-8806-dd6193aa8461.singles,10,2949,28,0.004135231,True
0cb1617c-d5f2-461e-b536-b9c9291e4b8e.singles,10,1543,30,0.00325934,True
0cba65d0-93ed-46fd-8d11-95d69c4c8999.singles,10,572,29,0.003252798,True
0cfe26b0-b5dc-44f6-b70c-80200ee0b0eb.singles,10,205,29,0.004104773,True
0d083bbc-22a2-467e-9276-c53a6c8f82b5.singles,10,687,28,0.004379949,True
0d8a89c1-278f-4463-93d2-9590cbd04bf6.singles,10,321,29,0.004038428,True
0dbc7239-83f1-4e22-87e7-5f9578106616.singles,10,721,29,0.003277073,True
0dc65bfb-a217-4f1a-90cc-9df2ef395188.singles,10,8270,29,20,False
0de114b9-29a8-4c55-90ad-a739471c6fab.singles,10,2618,27,0.003509299,True
0e5d7337-15d7-4076-89b6-e8a118590fe5.singles,10,154,27,0.004089013,True
0e6c5268-e78e-4aa5-9f47-9bcab701284c.singles,10,608,29,0.00322066,True
0e81678d-3d80-4729-8e02-b0a9dbaa11ba.singles,10,614,29,0.009428556,True
0f061f7c-bc54-433c-8c1e-f232eeb4a78d.singles,10,3998,29,0.010808831,True
0f61321d-b5c2-4a47-b555-f1384c04fd00.singles,10,9511,29,0.011938674,True
0f620bff-bf7d-4007-b42c-780b9687c4b8.singles,10,1099,30,0.004035142,True
0f6f2bb7-b280-4d5c-b401-bd5901a71f2f.singles,10,334,29,0.004931109,True
0f820077-cd6d-4c4c-a942-b9cfc375060d.singles,10,2115,29,0.003300188,True
0f8be5c0-cea3-4792-90bf-15e580ed166b.singles,10,259,30,0.009489661,True
0fb43771-d7a2-4eba-a55b-b3ab846c7117.singles,10,3630,30,0.004154646,True
0fd4ebbc-d835-4443-b951-1663792de666.singles,10,1880,28,0.007499165,True
0ff8c1ee-528e-4c6d-bce1-482df41ed488.singles,10,833,30,0.003620056,True
10049401-ba4a-4536-9a4c-c13acb83e75c.singles,10,27083,28,0.003310265,True
10115519-f0dc-48d3-99fd-3315eb2166d7.singles,10,563,29,0.050222851,True
101fa32a-2104-419a-b483-eeb75473269a.singles,10,3991,29,0.013455712,True
1094212a-b596-4c1c-9925-daec57556b39.singles,10,7112,30,0.005947052,True
10b74ead-3887-4115-9278-5617bf787fbf.singles,10,169,28,0.0035788,True
10ee98e4-76e7-4dce-9251-fe6e4c8f02de.singles,10,682,30,0.003238961,True
115679fb-2d0f-4d32-ac21-dbf546033394.singles,10,194,29,0.003306509,True
11d72d2b-8b91-4e68-983d-e460d9453f71.singles,10,1038,29,0.003265792,True
11ea1d1c-2f31-4087-8bcb-c01746dba0ef.singles,10,2090,30,0.004769004,True
120866e5-a0dd-474d-a6b5-2bba6a553d3e.singles,10,2356,29,0.007049665,True
12132076-eed4-45ee-835c-b4b6c736635b.singles,10,609,31,0.005188983,True
123c8361-d18a-4023-a5cb-adab050f88c1.singles,10,612,27,0.006732841,True
127683b5-10c1-4d7a-8b6b-71c065fd4a11.singles,10,91,29,0.005613867,True
