instance,n,number of cycles,covered squares,cpu_time (s),solution found
00037cc3-212d-471d-b045-bff33b66f069.singles,10,6701,28,0.009411811,True
0045f44d-f434-4ff1-ac7f-fed3fae22a08.singles,10,1009,30,0.0157943,True
00830cb6-f564-4409-adf5-ba12368bda3f.singles,10,1327,28,0.004076835,True
008a8515-896e-40f4-b6b7-bb89a5fb5656.singles,10,795,29,0.002982012,True
00de5b3e-e8aa-423c-852d-e1597e1024f5.singles,10,75,28,0.003007932,True
02110a56-430e-4cbb-90f4-99866566c583.singles,10,296,30,0.002960242,True
02544daa-121b-493c-8723-d8bc5d4ff7c3.singles,10,1768,30,0.004059223,True
02802396-f44b-4ff1-b38b-daf2b96992ba.singles,10,339,29,0.003096649,True
02992e9f-2593-4a2e-bf01-191ee491a998.singles,10,983,29,0.003144768,True
02b03531-d037-49eb-9637-666b9d629b21.singles,10,1377,28,0.002976163,True
02bbd6fd-3efa-4457-9354-9f52b3f341ba.singles,10,522,28,0.002888376,True
032602e2-9fbe-45e8-a5e7-9964cbd03e5f.singles,10,1046,29,0.004278584,True
03cf789c-a9ce-493e-8894-9ff7fd218057.singles,10,16256,30,0.004054193,True
03fa3a3d-89d6-44d7-b5db-60a8829cf3d4.singles,10,96,29,0.016299718,True
04037a2c-0f54-4a5f-805c-d2068f9b370e.singles,10,1531,28,0.009880632,True
041e9f31-2e8c-46fc-9e1c-c4c630c3e18b.singles,10,204,28,0.025335022,True
0464f44c-3217-48d9-a8b8-8eda42fafde7.singles,10,2880,29,0.003990022,True
048d20da-f7ab-4c09-9b01-768c77bccac4.singles,10,3406,29,0.004352743,True
049d1c74-6429-4fd4-adcf-54f8cd4c51e6.singles,10,5629,29,0.004434336,True
05089536-5038-411d-8005-9dbd7bb01485.singles,10,22927,29,0.003866482,True
0565062d-50d1-4b24-bd0b-cb99f1c6f22a.singles,10,832,30,0.003302892,True
05aadcc6-7773-4870-a47f-4f02be3b731c.singles,10,7941,30,0.004081684,True
060b64a6-c311-4ca1-a6af-bdc2b9a5f91e.singles,10,1528,30,0.017113324,True
07062332-2a75-4c9e-8191-059361835b8f.singles,10,292,28,0.004129204,True
07131650-78b7-411b-8e83-26a5f55ce632.singles,10,1555,29,0.003341527,True
07415db2-c092-4031-ba77-3054dac9d044.singles,10,191,29,0.05437892,True
07535cbf-e628-4106-a112-8426baf04cfa.singles,10,589,27,0.003968232,True
079d2e85-1dce-41a8-bcc2-fcd23d0fd379.singles,10,69,28,0.003084184,True
07a90ac0-a4b8-4e70-bd25-34b7a39e36eb.singles,10,241,29,0.003116224,True
07b2d436-9644-4e52-af08-db1c3409653f.singles,10,8288,30,0.003139699,True
07c9cb8c-3084-42a2-9182-245ef5aa3487.singles,10,560,28,0.007198929,True
08653b7c-cacb-4772-b872-1f7feec89049.singles,10,1655,31,0.006915209,True
0886aa0a-416e-4b74-8cca-34bfa27967c8.singles,10,1390,28,0.388188481,True
0925f754-a0db-470a-b1b3-27a71be02ef0.singles,10,587,29,0.005155618,True
094ea3d4-f28b-44d8-a0d9-5805c92f88a9.singles,10,54,28,0.002829416,True
