instance,n,cpu_time (s),duplicates time (s),graph time (s),time spent on optimisations (s),number_of_cycles,number_of_duplicates,number_of_covered_tiles,corner_check_hits,edge_pairs_hits,pairs_isolation_hits,sandwich_pairs_hits,sandwich_triple_hits
00418c51-72a3-4258-979d-802934428991.singles,10,0.004145634,0.000693558,0.02271527,1.423e-06,1331,65,30,0,0,1,2,0
0045d7af-d6fa-4ef7-a255-4d0b3c6911b5.singles,10,0.006425906,0.000547472,1.451028127,1.954e-06,115736,67,29,0,0,4,3,0
00834e51-cf72-4067-bbe1-1c045f456098.singles,10,0.003689561,0.000556639,0.150217514,2.064e-06,10922,61,28,0,0,1,4,0
00fd84e5-f476-44db-a2d8-ea91b8255797.singles,10,0.003916135,0.000544817,0.004252854,3.005e-06,170,63,28,0,0,3,3,0
0107f638-37df-4e62-801e-763e19325ef7.singles,10,0.004786517,0.00050408,14.064131801,1.573e-06,1065490,68,30,0,0,2,4,0
01ae2aaa-cf2a-4f6d-a56c-c79da87fb377.singles,10,0.006927703,0.00054646,0.009170807,3.907e-06,367,62,27,0,0,3,3,0
020f3ab3-e4c0-43d6-8a0a-ba1d36e4c09b.singles,10,0.00386453,0.000528236,0.010835583,1.703e-06,657,62,30,0,0,3,3,0
022ffba2-55df-4791-829c-22292ef8ed32.singles,10,0.004934537,0.000540529,0.004791531,1.453e-06,186,61,29,0,0,5,1,0
0230e385-6081-403e-a8a5-57a070ce8378.singles,10,0.003641243,0.000812352,0.001999858,3.937e-06,40,58,30,0,0,1,3,0
02526e98-b59e-4c80-82a0-73d6a6e564ae.singles,10,0.180326874,0.000517906,0.004868698,1.813e-06,248,60,30,0,0,4,2,0
025d0bbd-e0b7-43b4-b955-693ab3c267d6.singles,10,0.005271915,0.00050966,0.010467688,1.483e-06,717,65,30,0,0,1,3,0
0269efa7-c3da-4b2f-8097-bfe1a1f6dbb1.singles,10,0.010592829,0.000522685,0.01461106,1.914e-06,944,64,29,0,0,1,3,0
0287470a-565f-412d-ada9-791185facb10.singles,10,0.004133321,0.000537834,0.002695952,1.513e-06,81,60,30,0,0,1,2,0
03402f7c-c88a-4da2-b3e7-f812b520d595.singles,10,0.012096043,0.000501165,0.041778842,1.433e-06,2586,66,29,0,0,1,2,0
03412d28-7b37-4fb4-bccd-b42e766af36b.singles,10,0.00334463,0.000571768,0.028812868,1.863e-06,1791,63,29,0,0,3,3,0
0383a978-2f84-4e82-8ad3-6890b573ddb9.singles,10,0.009788419,0.000526322,0.0205387,1.613e-06,1491,61,29,0,0,2,3,0
03c778cb-55ab-417c-aa41-7d603765c14b.singles,10,0.005153502,0.000572278,0.019789413,1.462e-06,1159,59,26,0,0,6,3,0
03de9c1c-8a16-4c38-be7f-b8590f1f3f50.singles,10,0.005774029,0.00054142,0.052476452,1.663e-06,3906,69,31,0,0,2,3,0
045f8d63-762b-4f0c-99f5-56218a963508.singles,10,0.005047228,0.000542452,0.002680351,1.392e-06,87,58,28,0,0,1,2,1
04a65436-36e5-4259-9bc6-ae9d2e3a5efb.singles,10,0.005266673,0.000570916,0.021620763,1.453e-06,952,64,29,0,0,2,2,0
0575f6d6-1ac3-4b1b-a349-f72834f1e433.singles,10,0.016517108,0.0005412,0.002919563,2.725e-06,93,60,29,0,0,3,5,0
05f28012-51af-4290-8d45-5e0a9346452b.singles,10,0.00317382,0.00049837,0.002054482,1.302e-06,66,60,28,0,0,0,2,0
060fa1fe-0828-4013-99ca-16ac9efb91b1.singles,10,0.007608023,0.000489473,0.052553915,2.184e-06,3429,62,28,0,0,2,4,0
