instance,n,cpu_time (s),duplicates time (s),graph time (s),time spent on optimisations (s),time illegal solutions (s),iterations,number_of_runs_for_time_data,number_of_cycles,number_of_duplicates,number_of_covered_tiles,corner_check_hits,edge_pairs_hits,pairs_isolation_hits,sandwich_pairs_hits,sandwich_triple_hits
0013e80c-9d97-4a13-82f0-9ff6eed5d78f.singles,5,0.027211628,0.0001981935700000001,0.0011129361600000006,2.685e-06,2.5543070000000004e-05,0,100,40,19,8,0,0,0,1,0
00603400-42b6-4936-a5e2-3cc8c37204b1.singles,5,0.018603365,0.00018323904000000003,0.0008472028499999999,1.974e-06,2.318866e-05,0,100,35,17,8,0,0,0,2,0
00771139-feae-45dd-b14a-e85aca474fa6.singles,5,0.018244152,0.00017596603999999998,0.0003589318999999999,1.883e-06,2.4619209999999997e-05,0,100,5,13,6,0,0,1,2,0
008aa557-ebac-407b-b89d-ac9ac38682d4.singles,5,0.020786593,0.0001836234,0.0005841544500000001,1.734e-06,0.00203653738,3,100,19,13,7,0,0,0,2,0
00d1edc5-4dba-421c-aec3-3539c599f7aa.singles,5,0.016810827,0.00018303352999999998,0.0018565385400000007,1.854e-06,2.383754999999999e-05,0,100,94,17,7,0,0,1,2,0
011827b3-1c96-44be-8734-ef87c1ef4301.singles,5,0.025426662,0.00019958478999999995,0.00055428429,2.124e-06,2.6885160000000016e-05,0,100,11,15,6,0,0,0,2,0
015b764f-d6b9-49e7-aa73-b969789025f1.singles,5,0.029345314,0.00020165476999999994,0.00064121773,1.774e-06,0.0012633114399999998,3,100,20,15,6,0,0,0,0,0
0193f488-1d17-455b-868b-d5d7297176b4.singles,5,0.019819796,0.00017973585,0.0004034288900000001,2.524e-06,2.4121919999999995e-05,0,100,6,17,7,0,0,0,1,0
01ac6d1a-ff63-403b-a2ba-8bd1ecc5f8bb.singles,5,0.017512094,0.00018235592,0.0002762801000000001,1.893e-06,2.4071090000000007e-05,0,100,3,13,9,0,0,0,2,1
02092502-6088-4990-818b-d767bcc944f9.singles,5,0.022718378,0.00019331532000000002,0.00043972909999999996,1.664e-06,2.457919000000001e-05,0,100,8,15,6,0,0,0,0,0
02154980-b55d-43a2-9396-358dab150de7.singles,5,0.021194074,0.00018539706,0.0005145015,1.934e-06,2.5922439999999997e-05,0,100,9,15,6,0,0,0,2,0
02489e6c-6a27-4eb7-8aee-aa71d66a6834.singles,5,0.027529041,0.00019697289,0.00030578825,1.993e-06,0.0013030233200000004,3,100,3,12,7,0,0,0,2,1
02502cbc-dd74-4d1f-bb4a-852e41cf27d6.singles,5,0.020428378,0.00018925730999999998,0.0024525269299999998,2.515e-06,2.4981249999999994e-05,0,100,205,16,7,0,0,1,1,0
02525198-983b-47fe-9afa-4bd7f2911244.singles,5,0.026646483,0.00018347307000000004,0.0010652131200000006,2.134e-06,0.00032855322000000013,1,100,47,16,6,0,0,0,1,0
0258ac12-f377-4515-b104-114d1b5a2edd.singles,5,0.057119518,0.00017757912,0.0004912878700000002,1.543e-06,2.4522639999999997e-05,0,100,11,13,6,0,0,0,2,0
026e51a5-a7f2-4880-a85a-660fd85beb02.singles,5,0.021627062,0.00018015520000000003,0.0006865561900000003,2.825e-06,0.00031536859,1,100,21,16,7,0,0,0,1,0
0291ec75-4f44-4e7a-b1c3-b780c3383bfb.singles,5,0.020884355,0.00017925899,0.00108701017,5.179e-06,2.393646e-05,0,100,42,17,7,0,0,0,3,0
0304c018-64c7-4f89-97ac-2d9848446053.singles,5,0.020548264,0.00017957515000000004,0.0008504778700000004,1.973e-06,2.3496270000000005e-05,0,100,38,15,8,0,0,0,0,1
03441b92-33bd-484a-9751-9848b787626e.singles,5,0.018541632,0.00018885691000000002,0.0003609734300000001,2.315e-06,2.3961470000000002e-05,0,100,4,15,7,0,0,0,1,1
03a10926-540d-4a98-abbe-51729eae1e9e.singles,5,0.021260944,0.00018213951999999987,0.00037697399999999997,2.054e-06,0.00105884838,2,100,5,16,8,0,0,0,0,0
04eaefe1-e72c-4b3b-93c4-0b2a18ac48d4.singles,5,0.021291873,0.00017970780000000006,0.0004341342599999999,1.933e-06,2.382457999999999e-05,0,100,7,14,8,0,0,0,2,1
05b67cf5-fd30-42b3-92f9-56f74ee622d1.singles,5,0.033656249,0.00018257778999999994,0.0005421209299999999,1.734e-06,2.5092530000000003e-05,0,100,10,14,6,0,0,0,1,0
05d56022-d995-4b63-a96c-059c192fa64f.singles,5,0.021639224,0.00017895528000000003,0.0009580662499999999,1.713e-06,2.4222829999999986e-05,0,100,35,16,7,0,0,0,1,0
05f49c7a-fd18-4785-be0c-337181e69bf7.singles,5,0.025710342,0.00018428996000000004,0.0008206390399999995,6.012e-06,0.00041788574,1,100,26,16,8,0,0,0,0,1
05fc3bbb-5cfb-4096-b4e5-3e515d2bf6ae.singles,5,0.020415512,0.00018732444000000006,0.0014933578299999998,1.894e-06,2.4050429999999998e-05,0,100,92,18,8,0,0,0,1,0
05fd8c24-0149-446a-8de8-03102af336fc.singles,5,0.040563916,0.00022340876,0.0015357440999999997,2.074e-06,0.03323647008999999,21,100,92,16,7,0,0,0,2,0
06075914-0b8b-45b6-98d8-98aa8141b988.singles,5,0.021942986,0.00018310264,0.0005633144599999998,2.515e-06,2.384065e-05,0,100,12,15,7,0,0,0,2,1
061f5955-2888-4b63-ae0e-8aa04012cfd8.singles,5,0.024300793,0.00019299168999999984,0.0010541668599999999,2.374e-06,0.0017357179899999996,3,100,48,16,7,0,0,1,1,0
0738bec0-0098-4be6-9924-af7a7e60f967.singles,5,0.020013177,0.00017972995,0.0007759514700000002,1.944e-06,2.5525930000000004e-05,0,100,20,16,6,0,0,0,1,0
07989c72-cf7f-48ae-8aea-bc8a4af3c4a6.singles,5,0.017502462,0.00018683754000000012,0.0006745034800000002,2.535e-06,0.00114944073,3,100,21,13,8,0,0,0,3,1
07b2e373-43c4-4491-a17d-6dc7f7b89147.singles,5,0.131201935,0.00018465764000000004,0.0004573922200000001,8.826e-06,0.0010460904000000005,2,100,8,14,6,0,0,0,1,0
09c30354-70b5-475c-b5c4-c8461e2f4617.singles,5,0.01883602,0.00018679401999999995,0.00034160404000000013,1.833e-06,0.00033929850999999994,1,100,4,14,8,0,0,0,1,1
09f39634-1e32-433c-ba82-5c8ee6af5634.singles,5,0.021658993,0.0001848856700000001,0.0013765181500000007,1.944e-06,2.4501990000000006e-05,0,100,74,17,7,0,0,0,2,0
0abad872-235a-4347-abe6-d6459dced2ee.singles,5,0.01739091,0.00018340797000000007,0.0008923612800000002,1.613e-06,0.00032990911000000013,1,100,38,16,7,0,0,0,2,0
0b382fc4-c897-4574-92d8-8ea6d8ed31e1.singles,5,0.019577924,0.00018224123,0.00049125989,1.794e-06,2.360952999999999e-05,0,100,10,16,8,0,0,1,1,0
0b95eec2-3d92-42f3-9622-755140897020.singles,5,0.021074391,0.00018342738000000003,0.0014852818899999997,1.773e-06,2.4452980000000007e-05,0,100,78,18,7,0,0,0,1,0
0be9286c-d7ba-4dfb-b36d-801eda8ceeb6.singles,5,0.026211992,0.00018249257000000003,0.0004334054400000003,1.874e-06,2.4781669999999998e-05,0,100,7,15,6,0,0,0,1,0
0c444724-4815-412c-b3c9-c39d76a2529b.singles,5,0.01938821,0.00018090232,0.0004944766699999999,2.104e-06,2.3750639999999992e-05,0,100,9,17,7,0,0,0,1,0
0c80160e-a572-4bfb-b7b1-0c4e783cdc9f.singles,5,0.021373175,0.00018023343999999997,0.00061183758,1.974e-06,2.4301630000000007e-05,0,100,15,15,7,0,0,0,0,1
0cfcfe68-75a2-4141-88c0-51e475e9881b.singles,5,0.018635193,0.00018112015,0.00045059994999999993,1.803e-06,2.503414999999999e-05,0,100,6,14,6,0,0,0,1,0
0d2d6a77-7f02-48d3-aad0-7bde7e5c8096.singles,5,0.020546568,0.00018799629000000004,0.0021615746400000004,1.624e-06,0.0005028170899999998,1,100,165,17,7,0,0,0,2,0
0d437bb3-33aa-47cf-b92f-018903f79a69.singles,5,0.020419061,0.00018156116000000004,0.00100141936,7.404e-06,2.4318850000000005e-05,0,100,39,18,7,0,0,0,2,0
0d44b2d5-2ce1-491d-a844-fa34ba660347.singles,5,0.022368067,0.00018006338000000003,0.0008614408300000001,1.803e-06,2.5018889999999995e-05,0,100,38,16,6,0,0,0,2,0
0d4655f0-f29b-4657-9f47-695d2b5d874b.singles,5,0.02505112,0.00021995407999999994,0.0005452349,1.613e-06,0.024519584900000013,20,100,10,15,8,0,0,0,3,0
