instance,n,cpu_time (s),duplicates time (s),graph time (s),time spent on optimisations (s),time illegal solutions (s),iterations,number_of_runs_for_time_data,number_of_cycles,number_of_duplicates,number_of_covered_tiles,corner_check_hits,edge_pairs_hits,pairs_isolation_hits,sandwich_pairs_hits,sandwich_triple_hits
00418c51-72a3-4258-979d-802934428991.singles,10,20,0.0005274994099999998,0.02018120124,0,0.0009277974999999995,1,100,1331,65,30,0,0,1,2,0
0045d7af-d6fa-4ef7-a255-4d0b3c6911b5.singles,10,20,0.0005450330499999999,1.4216616327200002,0,0.004620927039999999,4,100,115736,67,29,0,0,4,3,0
00834e51-cf72-4067-bbe1-1c045f456098.singles,10,20,0.0005565963799999998,0.15871751435000003,0,8.976291000000002e-05,0,100,10922,61,28,0,0,1,4,0
00fd84e5-f476-44db-a2d8-ea91b8255797.singles,10,20,0.00051867533,0.00443241471,0,8.670889000000005e-05,0,100,170,63,28,0,0,3,3,0
0107f638-37df-4e62-801e-763e19325ef7.singles,10,20,0.00054921756,13.970170267950005,0,0.0009391248100000003,1,100,1065490,68,30,0,0,2,4,0
01ae2aaa-cf2a-4f6d-a56c-c79da87fb377.singles,10,20,0.00053437412,0.007057866860000003,0,0.0032644212600000007,3,100,367,62,27,0,0,3,3,0
020f3ab3-e4c0-43d6-8a0a-ba1d36e4c09b.singles,10,0.418486692,0.0005192808900000001,0.01049178017,1.513e-06,8.117434000000003e-05,0,100,657,62,30,0,0,3,3,0
022ffba2-55df-4791-829c-22292ef8ed32.singles,10,20,0.0005426899400000001,0.004477541939999998,0,0.0017479346500000005,2,100,186,61,29,0,0,5,1,0
0230e385-6081-403e-a8a5-57a070ce8378.singles,10,20,0.00050752991,0.00162977633,0,8.611209000000004e-05,0,100,40,58,30,0,0,1,3,0
02526e98-b59e-4c80-82a0-73d6a6e564ae.singles,10,20,0.0005450185500000001,0.004699256399999999,0,0.11119365463999994,31,100,248,60,30,0,0,4,2,0
025d0bbd-e0b7-43b4-b955-693ab3c267d6.singles,10,20,0.0005146219600000001,0.012290341559999996,0,8.087073000000001e-05,0,100,717,65,30,0,0,1,3,0
0269efa7-c3da-4b2f-8097-bfe1a1f6dbb1.singles,10,20,0.00054383546,0.013966198660000002,0,0.01065611026,9,100,944,64,29,0,0,1,3,0
0287470a-565f-412d-ada9-791185facb10.singles,10,2.084024643,0.00050474122,0.00280546589,1.263e-06,0.0009299832800000002,1,100,81,60,30,0,0,1,2,0
03402f7c-c88a-4da2-b3e7-f812b520d595.singles,10,20,0.00054885758,0.04110057443999999,0,0.007905211089999996,5,100,2586,66,29,0,0,1,2,0
03412d28-7b37-4fb4-bccd-b42e766af36b.singles,10,20,0.0005266508099999998,0.02876532947999999,0,8.041826e-05,0,100,1791,63,29,0,0,3,3,0
0383a978-2f84-4e82-8ad3-6890b573ddb9.singles,10,20,0.0005438458399999999,0.02011312337,0,0.0074301746899999984,7,100,1491,61,29,0,0,2,3,0
03c778cb-55ab-417c-aa41-7d603765c14b.singles,10,20,0.0005225296999999999,0.020384354819999995,0,0.0009069693000000001,1,100,1159,59,26,0,0,6,3,0
03de9c1c-8a16-4c38-be7f-b8590f1f3f50.singles,10,3.459315559,0.0005452567800000002,0.05595659551999997,1.744e-06,0.0024441697900000003,3,100,3906,69,31,0,0,2,3,0
045f8d63-762b-4f0c-99f5-56218a963508.singles,10,20,0.0005050511400000002,0.0026803257699999994,0,0.0017956038200000002,2,100,87,58,28,0,0,1,2,1
04a65436-36e5-4259-9bc6-ae9d2e3a5efb.singles,10,20,0.00052457551,0.019830843950000003,0,8.139146000000001e-05,0,100,952,64,29,0,0,2,2,0
0575f6d6-1ac3-4b1b-a349-f72834f1e433.singles,10,20,0.00053907148,0.0031238806299999987,0,0.03753312033,18,100,93,60,29,0,0,3,5,0
05f28012-51af-4290-8d45-5e0a9346452b.singles,10,20,0.0005181423199999999,0.0022290036099999995,0,8.015419e-05,0,100,66,60,28,0,0,0,2,0
060fa1fe-0828-4013-99ca-16ac9efb91b1.singles,10,20,0.0005403694099999997,0.05528050487000002,0,0.004455282950000001,5,100,3429,62,28,0,0,2,4,0
0629cb7c-3b38-47af-9057-faf00ac374a2.singles,10,0.02331794,0.00052156292,0.0033721016400000015,1.513e-06,8.760358999999997e-05,0,100,97,60,29,0,0,3,3,0
06b38f82-25e5-476c-9a83-983cd953c66d.singles,10,20,0.0005068952700000002,0.0047242691400000035,0,8.274647999999999e-05,0,100,235,61,27,0,0,3,3,0
070e65fa-c715-40e6-839a-a95bba22438b.singles,10,20,0.0005372519199999997,0.02967736963000001,0,8.42069e-05,0,100,1599,67,28,0,0,1,5,0
07f19810-c14e-4689-9fed-523c237eea82.singles,10,20,0.0005632037399999998,0.017446590379999998,0,0.0031096034800000005,3,100,1181,65,30,0,0,1,3,0
084103cd-8723-4a77-8b1d-178df8079869.singles,10,20,0.00055732937,0.00507448316,0,6.387950198349999,200,100,262,58,29,0,0,2,3,0
08a07df0-7b09-41c6-a127-d3ff2ead5904.singles,10,20,0.0005478463500000002,0.01397636084,0,0.006280909969999996,6,100,847,59,29,0,0,3,3,0
08ae4c8c-6af6-4d3b-bc08-f5ddf1122c6b.singles,10,20,0.0005417937300000001,0.024786288350000005,0,0.008577813319999997,7,100,1767,63,28,0,0,2,2,0
08e2f1d4-ec7a-449c-8a3f-ccc3ffe8d611.singles,10,20,0.00052923301,0.00681108961,0,8.234736999999996e-05,0,100,291,67,28,0,0,0,2,0
09535a01-9d36-4a22-939e-8ac449aeee48.singles,10,20,0.00052416076,0.011638910160000005,0,0.0010115524299999998,1,100,750,64,28,0,0,2,2,0
0975fa97-f353-42a5-a03a-7aa4c797aadd.singles,10,20,0.00050771098,0.002398274819999999,0,0.0031445769,4,100,60,61,29,0,0,1,3,0
09f3217e-14b4-40f2-934d-b598c9cf3c01.singles,10,20,0.0005485143700000001,0.005325147149999998,0,0.09448232256999996,23,100,233,64,29,0,0,0,3,0
0a1e3f7c-02b3-4b5f-a923-3d6d9fde1c01.singles,10,20,0.00055019999,0.024560905460000008,0,0.0019358762399999993,2,100,1488,67,28,0,0,2,3,0
0a41a850-0ac3-4a80-bf3c-ed027c834f78.singles,10,20,0.00054468587,0.08795258874000002,0,0.0008681591299999998,1,100,6473,67,29,0,0,3,2,0
0a4df37a-8c4c-44ba-94cf-60a696cd096a.singles,10,20,0.0005498760600000001,0.06635727693,0,8.174998999999997e-05,0,100,4685,64,28,0,0,2,2,0
0a65b582-4233-4887-9579-6c01f72f5ad7.singles,10,20,0.00050968088,0.004219560110000003,0,0.0008279230300000001,1,100,101,60,28,0,0,1,2,0
0a851f86-6e67-46c6-af6c-778de687124b.singles,10,20,0.00053883589,0.01189845158,0,0.020263983649999998,15,100,800,61,30,0,0,4,2,1
0aa2a8fc-ea17-4140-9ac0-dee6fb62fae5.singles,10,20,0.0005186213699999997,0.012264226539999996,0,0.00075383759,1,100,577,67,29,0,0,1,1,0
0ab9ae5e-8471-450e-b572-0a10a12d790f.singles,10,20,0.0005422790499999999,0.029006048290000017,0,0.001977949780000001,2,100,2359,63,30,0,0,0,4,0
0abe91b5-90dd-44d9-aa01-4ff3c6fa5a25.singles,10,20,0.00051657448,0.00838612232,0,8.065474000000002e-05,0,100,433,63,28,0,0,3,1,0
0ac13a15-25eb-400e-b408-4e5266c5dfea.singles,10,20,0.0005536615000000002,0.024415323200000016,0,0.7798540861200003,95,100,1513,66,29,0,0,1,3,1
0b8d733c-6ece-40fc-b1a9-016d63631c17.singles,10,20,0.00050754346,0.0032086319299999997,0,8.150607999999998e-05,0,100,117,59,28,0,0,3,2,0
0c1f4045-852d-4670-a94e-5f9ea656bb22.singles,10,20,0.0005442240000000002,0.07893901915999997,0,0.015660344899999994,11,100,4915,67,29,0,0,1,2,0
0c756d85-8cde-47d2-9ffd-d6ec254b65b3.singles,10,1.153514916,0.00053130889,0.03264525806,1.3936e-05,0.0007894300700000001,1,100,2285,67,30,0,0,0,4,0
0c9e4fb9-80d5-4b54-8806-dd6193aa8461.singles,10,20,0.00053601555,0.044027350320000005,0,0.0008955691099999999,1,100,2949,64,28,0,0,1,4,0
0cb1617c-d5f2-461e-b536-b9c9291e4b8e.singles,10,20,0.0005225758499999999,0.02214048353999999,0,8.177471e-05,0,100,1543,64,30,0,0,0,2,0
0cba65d0-93ed-46fd-8d11-95d69c4c8999.singles,10,20,0.00052663291,0.01097471714,0,8.117196e-05,0,100,572,65,29,0,0,1,0,0
0cfe26b0-b5dc-44f6-b70c-80200ee0b0eb.singles,10,20,0.0005142410899999998,0.004630378619999998,0,0.0007960818900000003,1,100,205,61,29,0,0,2,3,0
0d083bbc-22a2-467e-9276-c53a6c8f82b5.singles,10,20,0.00051658023,0.011151165829999997,0,0.0009316906900000005,1,100,687,59,28,0,0,5,2,0
0d8a89c1-278f-4463-93d2-9590cbd04bf6.singles,10,20,0.0005092818099999998,0.006441565850000002,0,0.0008608315599999998,1,100,321,64,29,0,0,3,3,0
0dbc7239-83f1-4e22-87e7-5f9578106616.singles,10,20,0.0005185626100000002,0.012237177569999995,0,8.111910999999999e-05,0,100,671,60,29,0,0,3,2,1
0dc65bfb-a217-4f1a-90cc-9df2ef395188.singles,10,20,0.0005713029399999998,0.12136396783000002,0,4.51186857539,180,100,8270,61,29,0,0,1,3,0
0de114b9-29a8-4c55-90ad-a739471c6fab.singles,10,20,0.0005309623100000001,0.03388634954,0,8.444731000000002e-05,0,100,2618,57,27,0,0,1,2,0
0e5d7337-15d7-4076-89b6-e8a118590fe5.singles,10,20,0.0005089484499999998,0.003942024819999998,0,0.0009193063099999999,1,100,154,55,27,0,0,2,3,0
0e6c5268-e78e-4aa5-9f47-9bcab701284c.singles,10,0.500025726,0.0005157131300000002,0.011303866110000003,3.527e-06,8.124017999999999e-05,0,100,608,66,29,0,0,1,3,0
0e81678d-3d80-4729-8e02-b0a9dbaa11ba.singles,10,20,0.0005177938699999998,0.0035246899000000013,0,0.0052975726100000006,5,100,138,57,29,0,0,3,3,1
0f061f7c-bc54-433c-8c1e-f232eeb4a78d.singles,10,20,0.00054290501,0.034602494479999996,0,0.0075736555700000015,7,100,2493,63,29,0,0,0,1,1
0f61321d-b5c2-4a47-b555-f1384c04fd00.singles,10,20,0.0005514723999999998,0.14173758471,0,0.009315113830000003,7,100,9511,67,29,0,0,1,3,0
0f620bff-bf7d-4007-b42c-780b9687c4b8.singles,10,20,0.00052308484,0.018941636709999994,0,0.0008272010699999999,1,100,1099,62,30,0,0,3,3,0
0f6f2bb7-b280-4d5c-b401-bd5901a71f2f.singles,10,20,0.0005291527999999997,0.005539855130000001,0,0.0016482229300000006,2,100,334,66,29,0,0,1,2,0
